,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
5,H,Y,N,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,
5,I,Y,N,,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,1,,
5,J,Y,N,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,
6,J,Y,N,,,1,,,1,,,,,1,,,,,,1,,,,,,,,,,,
6,I,Y,N,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
6,H,Y,N,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
6,G,Y,N,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
6,F,Y,N,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,1,,
6,E,Y,N,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
6,D,Y,N,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,
6,C,Y,Y,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
6,B,Y,N,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
6,A,Y,N,,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,
7,A,Y,N,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
7,B,Y,N,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,
7,C,Y,N,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,
7,D,Y,N,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,
7,E,Y,N,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,
7,F,Y,N,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,
7,G,Y,N,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
7,H,Y,N,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
7,I,Y,Y,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
7,J,Y,N,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,
8,J,Y,N,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,
8,I,Y,Y,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,
8,H,Y,N,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
8,G,Y,N,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
8,F,Y,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,E,Y,N,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
8,D,Y,N,1,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,
8,C,Y,N,1,1,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,
8,B,Y,N,,1,1,1,1,,,,,1,,,1,,,,,,,,,,,1,,,,
8,A,Y,N,1,1,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,
9,A,Y,N,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,
9,B,Y,N,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,Y,N,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,
9,D,Y,N,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
9,E,Y,N,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
9,F,Y,N,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
9,G,Y,N,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
9,H,Y,N,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
9,I,Y,Y,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,
9,J,Y,N,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
10,J,Y,N,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,
10,I,Y,N,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,
10,H,Y,N,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,
10,G,Y,N,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
10,F,Y,N,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
10,E,Y,N,1,,1,1,,,1,,,,,,,,,,,,,,,,,1,,,,
10,D,Y,N,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,
10,C,Y,N,,,,1,1,1,1,,,,1,,,,,,,,,,,,,1,,,,
10,B,Y,N,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
10,A,Y,Y,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
,,% freq.,,41,36,78,40,40,16,25,3,0,2,55,2,7,0,0,0,9,0,0,0,0,0,0,4,2,16,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
